Species,GuNi.1f,GuNi.1n,GuNi.1e,GuNi.1s,GuNi.1w,GuNi.2f,GuNi.2n,GuNi.2e,GuNi.2s,GuNi.2w,GuNi.3f,GuNi.3n,GuNi.3e,GuNi.3s,GuNi.3w,GuNi.4f,GuNi.4n,GuNi.4e,GuNi.4s,GuNi.4w,GuNi.5f,GuNi.5n,GuNi.5e,GuNi.5s,GuNi.5w,GuNi.6f,GuNi.6n,GuNi.6e,GuNi.6s,GuNi.6w,GuNi.7f,GuNi.7n,GuNi.7e,GuNi.7s,GuNi.7w,GuNi.8f,GuNi.8n,GuNi.8e,GuNi.8s,GuNi.8w,GuNi.9f,GuNi.9n,GuNi.9e,GuNi.9s,GuNi.9w,GuNi.10f,GuNi.10n,GuNi.10e,GuNi.10s,GuNi.10w,GuNi.11f,GuNi.11n,GuNi.11e,GuNi.11s,GuNi.11w,GuNi.12f,GuNi.12n,GuNi.12e,GuNi.12s,GuNi.12w,GuNi.13f,GuNi.13n,GuNi.13e,GuNi.13s,GuNi.13w,GuNi.14f,GuNi.14n,GuNi.14e,GuNi.14s,GuNi.14w,GuNi.15f,GuNi.15n,GuNi.15e,GuNi.15s,GuNi.15w,GuNi.16f,GuNi.16n,GuNi.16e,GuNi.16s,GuNi.16w,GuNi.17f,GuNi.17n,GuNi.17e,GuNi.17s,GuNi.17w,GuNi.18f,GuNi.18n,GuNi.18e,GuNi.18s,GuNi.18w,GuNi.19f,GuNi.19n,GuNi.19e,GuNi.19s,GuNi.19w,GuNi.20f,GuNi.20n,GuNi.20e,GuNi.20s,GuNi.20w,GuNi.21f,GuNi.21n,GuNi.21e,GuNi.21s,GuNi.21w,GuNi.22f,GuNi.22n,GuNi.22e,GuNi.22s,GuNi.22w,GuNi.23f,GuNi.23n,GuNi.23e,GuNi.23s,GuNi.23w,GuNi.24f,GuNi.24n,GuNi.24e,GuNi.24s,GuNi.24w,GuNi.25f,GuNi.25n,GuNi.25e,GuNi.25s,GuNi.25w,GuNi.26f,GuNi.26n,GuNi.26e,GuNi.26s,GuNi.26w,GuNi.27f,GuNi.27n,GuNi.27e,GuNi.27s,GuNi.27w,GuNi.28f,GuNi.28n,GuNi.28e,GuNi.28s,GuNi.28w,GuNi.29f,GuNi.29n,GuNi.29e,GuNi.29s,GuNi.29w,GuNi.30f,GuNi.30n,GuNi.30e,GuNi.30s,GuNi.30w,GuNi.31f,GuNi.31n,GuNi.31e,GuNi.31s,GuNi.31w,GuNi.32f,GuNi.32n,GuNi.32e,GuNi.32s,GuNi.32w,GuNi.33f,GuNi.33n,GuNi.33e,GuNi.33s,GuNi.33w,GuNi.34f,GuNi.34n,GuNi.34e,GuNi.34s,GuNi.34w,GuNi.35f,GuNi.35n,GuNi.35e,GuNi.35s,GuNi.35w,GuNi.36f,GuNi.36n,GuNi.36e,GuNi.36s,GuNi.36w,GuNi.37f,GuNi.37n,GuNi.37e,GuNi.37s,GuNi.37w,GuNi.38f,GuNi.38n,GuNi.38e,GuNi.38s,GuNi.38w,GuNi.39f,GuNi.39n,GuNi.39e,GuNi.39s,GuNi.39w,GuNi.40f,GuNi.40n,GuNi.40e,GuNi.40s,GuNi.40w
Carpobrotus edulis,0,0,0,5,0,71,38,77,72,37,,,,,,,,,,,,,,,,1,0,3,11,2,0,11,0,0,0,4,11,0,4,10,,,,,,,,,,,,,,,,24,28,14,26,40,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,,,,,,,,,,,28,9,30,29,26,,,,,,13,35,0.5,0,46,10,1,11,1,6,16,19,6,28,8,1,0.5,0.5,0.5,2,,,,,,,,,,,,,,,,,,,,,21,7,9,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,49,27,81,85,1,,,,,,3,15,1,0,0,2,0,2,0.5,12,,,,,
Yellow Sand Verbena,,,,,,,,,,,,,,,,2,9,6,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach Primrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morning Glory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,5,1,2,,,,,,3,3,0,0,2,16,18,9,6,11,9,8,26,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,8,10,9,20,29,23,8,22,6,11,2,2,8,,,,,
Pink Sand Verbena,7,42,17,1,13,,,,,,,,,,,,,,,,,,,,,27,14,20,23,22,,,,,,5,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,,,,,,,,,,,0,0,14,0,0,40,60,71,31,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,0,0,6,2,14,12,13,,,,,,10,8,0,0,2,,,,,,,,,,,78,51,83,24,39,34,13,0,15,48,,,,,,,,,,
Searocket,3,15,4,0,4,19,0,5,0,0,,,,,,,,,,,18,0,0,0,0,2,0,0,15,1,0,4,1,0,0,12,2,18,14,5,0,2,0,0,0,4,7,9,0,6,21,1,23,0,12,0,1,5,7,10,,,,,,,,,,,,,,,,,,,,,13,0,2,0,5,3,13,20,0,0,,,,,,7,2,4,3,2,0.5,0,24,0,0,0.5,0,4,0,3,1,2,0.5,0,5,12,4,3,1,0.5,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,1,5,2,0,19,7,4,5,0,,,,,,,,,,,8,0,0,0,0,,,,,,,,,,,5,0,9,26,0,6,6,7,0,3,3,0,0,1,2,4,20,0,0,0
Beach Burr,,,,,,,,,,,,,,,,,,,,,63,89,54,0,30,,,,,,6,40,0,0,0,2,20,0,10,16,,,,,,44,95,26,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,45,43,0,12,0,3,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,3,4,0,0,1,0,0,8,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,2,0.5,0,53,4,38,56,51
Agoseris,,,,,,,,,,,,,,,,,,,,,1,3,4,0,1,,,,,,,,,,,,,,,,,,,,,0,6,0,0,1,,,,,,0,1,5,7,10,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,5,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,2
Ammophila arenaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,0,1,,,,,,0,13,0,0,0,,,,,,9,23,1,22,31,,,,,,,,,,,,,,,,,,,,,,,,,,68,57,71,75,35,2,15,5,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silky Beach Pea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Saltbush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,9,4,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
